Date,Open,High,Low,Close,Adj Close,Volume
2015-05-06,52.389999,52.389999,52.389999,52.389999,49.467041,0
2015-05-07,52.610001,52.610001,52.610001,52.610001,49.674774,0
2015-05-08,53.270000,53.270000,53.270000,53.270000,50.297943,0
2015-05-11,53.049999,53.049999,53.049999,53.049999,50.090206,0
2015-05-12,52.910000,52.910000,52.910000,52.910000,49.958027,0
2015-05-13,52.900002,52.900002,52.900002,52.900002,49.948589,0
2015-05-14,53.459999,53.459999,53.459999,53.459999,50.477341,0
2015-05-15,53.509998,53.509998,53.509998,53.509998,50.524551,0
2015-05-18,53.730000,53.730000,53.730000,53.730000,50.732277,0
2015-05-19,53.689999,53.689999,53.689999,53.689999,50.694504,0
2015-05-20,53.660000,53.660000,53.660000,53.660000,50.666183,0
2015-05-21,53.779999,53.779999,53.779999,53.779999,50.779484,0
2015-05-22,53.669998,53.669998,53.669998,53.669998,50.675617,0
2015-05-26,53.119999,53.119999,53.119999,53.119999,50.156315,0
2015-05-27,53.610001,53.610001,53.610001,53.610001,50.618973,0
2015-05-28,53.560001,53.560001,53.560001,53.560001,50.571766,0
2015-05-29,53.230000,53.230000,53.230000,53.230000,50.260174,0
2015-06-01,53.340000,53.340000,53.340000,53.340000,50.364040,0
2015-06-02,53.310001,53.310001,53.310001,53.310001,50.335712,0
2015-06-03,53.480000,53.480000,53.480000,53.480000,50.496231,0
2015-06-04,53.020000,53.020000,53.020000,53.020000,50.061893,0
2015-06-05,53.009998,53.009998,53.009998,53.009998,50.052448,0
2015-06-08,52.669998,52.669998,52.669998,52.669998,49.731419,0
2015-06-09,52.669998,52.669998,52.669998,52.669998,49.731419,0
2015-06-10,53.299999,53.299999,53.299999,53.299999,50.326267,0
2015-06-11,53.419998,53.419998,53.419998,53.419998,50.439571,0
2015-06-12,53.080002,53.080002,53.080002,53.080002,50.118546,0
2015-06-15,52.840000,52.840000,52.840000,52.840000,49.891930,0
